Film_title,Director,Cast,Average_rating,Watches,Film_URL
Twilight,Catherine Hardwicke,"['Kristen Stewart', 'Robert Pattinson', 'Billy Burke']",2.9,1602936,https://letterboxd.com/film/twilight-2008/
John Wick,Chad Stahelski,"['Keanu Reeves', 'Michael Nyqvist', 'Ian McShane']",3.8,1597485,https://letterboxd.com/film/john-wick/
Cars,John Lasseter,"['Owen Wilson', 'Larry the Cable Guy', 'Bonnie Hunt']",3.67,1593608,https://letterboxd.com/film/cars/
Big Hero 6,"Chris Williams, Don Hall","['Scott Adsit', 'Ryan Potter', 'Daniel Henney']",3.77,1590517,https://letterboxd.com/film/big-hero-6/
Avatar: The Way of Water,James Cameron,"['Sam Worthington', 'Zoe Saldaña', 'Sigourney Weaver']",3.61,1586391,https://letterboxd.com/film/avatar-the-way-of-water/
Split,M. Night Shyamalan,"['James McAvoy', 'Anya Taylor-Joy', 'Betty Buckley']",3.46,1565646,https://letterboxd.com/film/split-2016/
Little Miss Sunshine,"Jonathan Dayton, Valerie Faris","['Greg Kinnear', 'Toni Collette', 'Steve Carell']",4.17,1558291,https://letterboxd.com/film/little-miss-sunshine/
GoodFellas,Martin Scorsese,"['Ray Liotta', 'Robert De Niro', 'Joe Pesci']",4.48,1551763,https://letterboxd.com/film/goodfellas/
No Country for Old Men,"Joel Coen, Ethan Coen","['Josh Brolin', 'Javier Bardem', 'Tommy Lee Jones']",4.33,1551543,https://letterboxd.com/film/no-country-for-old-men/
Rogue One: A Star Wars Story,Gareth Edwards,"['Felicity Jones', 'Diego Luna', 'Alan Tudyk']",3.71,1549385,https://letterboxd.com/film/rogue-one-a-star-wars-story/
Spider-Man 3,Sam Raimi,"['Tobey Maguire', 'Kirsten Dunst', 'James Franco']",3.01,1545044,https://letterboxd.com/film/spider-man-3/
Deadpool 2,David Leitch,"['Ryan Reynolds', 'Josh Brolin', 'Morena Baccarin']",3.48,1537493,https://letterboxd.com/film/deadpool-2/
