Film_title,Director,Average_rating,Watches,Film_URL,Actor1,Actor2,Actor3
Her,Spike Jonze,4.02,1974246,https://a.ltrbxd.com/resized/sm/upload/au/nb/i6/lq/fsoTLnUXEUTNuVCBxAJMY0HPPd-0-1000-0-1500-crop.jpg?v=16789732be,Joaquin Phoenix,Scarlett Johansson,Amy Adams
Mulholland Drive,David Lynch,4.24,822458,https://a.ltrbxd.com/resized/sm/upload/kv/7n/p8/tv/fMC8JBWx2VjsJ53JopAcFjqmlYv-0-1000-0-1500-crop.jpg?v=3d69c00608,Naomi Watts,Laura Harring,Justin Theroux
American Psycho,Mary Harron,3.86,2602828,https://a.ltrbxd.com/resized/sm/upload/5b/u9/av/il/ecoY7zJL6Ub3URP1oPhPfGflEjV-0-1000-0-1500-crop.jpg?v=8126850315,Christian Bale,Willem Dafoe,Jared Leto
Shutter Island,Martin Scorsese,4.11,2389339,https://a.ltrbxd.com/resized/film-poster/4/5/4/0/9/45409-shutter-island-0-1000-0-1500-crop.jpg?v=85dd4c38e3,Leonardo DiCaprio,Mark Ruffalo,Ben Kingsley
Hereditary,Ari Aster,3.97,1994263,https://a.ltrbxd.com/resized/film-poster/4/2/4/3/4/8/424348-hereditary-0-1000-0-1500-crop.jpg?v=470e48b681,Toni Collette,Alex Wolff,Gabriel Byrne
Trainspotting,Danny Boyle,4.2,1028430,https://a.ltrbxd.com/resized/film-poster/5/1/4/9/7/51497-trainspotting-0-1000-0-1500-crop.jpg?v=c8597f6cb5,Ewan McGregor,Ewen Bremner,Jonny Lee Miller
The Matrix,"Lilly Wachowski, Lana Wachowski",4.16,2475614,https://a.ltrbxd.com/resized/film-poster/5/1/5/1/8/51518-the-matrix-0-1000-0-1500-crop.jpg?v=fc7c366afe,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss
Oldboy,Park Chan-wook,4.39,1005831,https://a.ltrbxd.com/resized/film-poster/5/1/4/5/4/51454-oldboy-0-1000-0-1500-crop.jpg?v=294dbcadef,Choi Min-sik,Yoo Ji-tae,Kang Hye-jung
Perfect Blue,Satoshi Kon,4.4,717184,https://a.ltrbxd.com/resized/film-poster/4/6/1/7/5/46175-perfect-blue-0-1000-0-1500-crop.jpg?v=1ed5878cce,Junko Iwao,Rica Matsumoto,Shiho Niiyama
The Social Network,David Fincher,3.95,2443604,https://a.ltrbxd.com/resized/sm/upload/nw/cm/pa/ai/sGQv3ZMZBDBnl3z42Q0mEQ5uiDe-0-1000-0-1500-crop.jpg?v=54ee59f7cd,Jesse Eisenberg,Andrew Garfield,Armie Hammer
12 Angry Men,Sidney Lumet,4.62,910819,https://a.ltrbxd.com/resized/film-poster/5/1/7/0/0/51700-12-angry-men-0-1000-0-1500-crop.jpg?v=b8aaf291a9,Martin Balsam,John Fiedler,Lee J. Cobb
The Handmaiden,Park Chan-wook,4.41,598615,https://a.ltrbxd.com/resized/sm/upload/pc/n6/pz/mi/wvzfK5QR6dGLwND8MCzWjsQWG4Q-0-1000-0-1500-crop.jpg?v=bcfcc8f8f6,Kim Min-hee,Kim Tae-ri,Ha Jung-woo
Oppenheimer,Christopher Nolan,4.24,2430969,https://a.ltrbxd.com/resized/film-poster/7/8/4/3/2/8/784328-oppenheimer-0-1000-0-1500-crop.jpg?v=e3c6e7a32c,Cillian Murphy,Emily Blunt,Matt Damon
Knives Out,Rian Johnson,3.99,3172434,https://a.ltrbxd.com/resized/film-poster/4/7/5/3/7/0/475370-knives-out-0-1000-0-1500-crop.jpg?v=7da76d742c,Daniel Craig,Chris Evans,Ana de Armas
Alien,Ridley Scott,4.28,1433157,https://a.ltrbxd.com/resized/sm/upload/8v/f1/qw/aa/bg7K6VtUG7Ew70gQj6SSroD5d4R-0-1000-0-1500-crop.jpg?v=a932f9e98e,Sigourney Weaver,Tom Skerritt,Ian Holm
There Will Be Blood,Paul Thomas Anderson,4.45,978751,https://a.ltrbxd.com/resized/sm/upload/jg/cd/7y/f5/there%20will%20be%20blood-0-1000-0-1500-crop.jpg?v=8a533d5350,Daniel Day-Lewis,Paul Dano,Kevin J. OConnor
A Clockwork Orange,Stanley Kubrick,4.13,1337735,https://a.ltrbxd.com/resized/film-poster/5/1/8/6/7/51867-a-clockwork-orange-0-1000-0-1500-crop.jpg?v=d6d5407b50,Malcolm McDowell,Patrick Magee,Michael Bates
City of God,Fernando Meirelles,4.52,732104,https://a.ltrbxd.com/resized/film-poster/5/1/5/2/3/51523-city-of-god-0-1000-0-1500-crop.jpg?v=7517ea94ce,Alexandre Rodrigues,Leandro Firmino,Phellipe Haagensen
Ratatouille,Brad Bird,4.2,3038905,https://a.ltrbxd.com/resized/sm/upload/n8/rl/pc/se/jEiEU8viSb8CIIHcfprVr2V6XDz-0-1000-0-1500-crop.jpg?v=25e13045f0,Patton Oswalt,Lou Romano,Ian Holm
Chungking Express,Wong Kar-wai,4.3,529141,https://a.ltrbxd.com/resized/film-poster/4/5/6/0/2/45602-chungking-express-0-1000-0-1500-crop.jpg?v=9475abb05b,Takeshi Kaneshiro,Brigitte Lin,Tony Leung Chiu-wai
Titanic,James Cameron,3.8,2644002,https://a.ltrbxd.com/resized/film-poster/5/1/5/2/4/51524-titanic-0-1000-0-1500-crop.jpg?v=7517ea94ce,Leonardo DiCaprio,Kate Winslet,Billy Zane
Moonlight,Barry Jenkins,4.2,1345429,https://a.ltrbxd.com/resized/sm/upload/90/gn/c7/9k/qAwFbszz0kRyTuXmMeKQZCX3Q2O-0-1000-0-1500-crop.jpg?v=192bde15c6,Trevante Rhodes,André Holland,Janelle Monáe
No Country for Old Men,"Joel Coen, Ethan Coen",4.33,1551525,https://a.ltrbxd.com/resized/sm/upload/dr/hr/pz/ez/ehLb2SQ3djlA1FrQKbP2WO3VH09-0-1000-0-1500-crop.jpg?v=6489920a92,Josh Brolin,Javier Bardem,Tommy Lee Jones
"Girl, Interrupted",James Mangold,3.89,862454,https://a.ltrbxd.com/resized/sm/upload/1x/ad/d5/5d/vp46lgVDiFdT4Hw5WIISOPwnMaH-0-1000-0-1500-crop.jpg?v=d07803f1c3,Winona Ryder,Angelina Jolie,Brittany Murphy
Lost in Translation,Sofia Coppola,3.84,1166104,https://a.ltrbxd.com/resized/sm/upload/th/b5/6c/gl/5T8VvuFTdaawKLJk34i69Utaw7o-0-1000-0-1500-crop.jpg?v=ce6ae8e1b4,Bill Murray,Scarlett Johansson,Giovanni Ribisi
The Virgin Suicides,Sofia Coppola,3.82,732747,https://a.ltrbxd.com/resized/film-poster/5/1/0/2/4/51024-the-virgin-suicides-0-1000-0-1500-crop.jpg?v=b869f3409a,James Woods,Kathleen Turner,Kirsten Dunst
Mad Max: Fury Road,George Miller,4.17,1873510,https://a.ltrbxd.com/resized/film-poster/6/2/7/8/0/62780-mad-max-fury-road-0-1000-0-1500-crop.jpg?v=37c5424b1f,Tom Hardy,Charlize Theron,Nicholas Hoult
Barbie,Greta Gerwig,3.88,3426847,https://a.ltrbxd.com/resized/film-poster/2/7/7/0/6/4/277064-barbie-0-1000-0-1500-crop.jpg?v=1b83dc7a71,Margot Robbie,Ryan Gosling,America Ferrera
The Big Lebowski,Joel Coen,4.13,1209533,https://a.ltrbxd.com/resized/film-poster/5/1/9/3/5/51935-the-big-lebowski-0-1000-0-1500-crop.jpg?v=5cd64defcf,Jeff Bridges,John Goodman,Julianne Moore
Prisoners,Denis Villeneuve,4.29,1419209,https://a.ltrbxd.com/resized/sm/upload/iw/eg/4g/nm/3w79tTsv6tmlT8Jww6snyPrgVok-0-1000-0-1500-crop.jpg?v=778c7ae8b8,Hugh Jackman,Jake Gyllenhaal,Terrence Howard
Drive,Nicolas Winding Refn,3.94,1651390,https://a.ltrbxd.com/resized/sm/upload/6d/6l/r3/e9/nu7XIa67cXc2t7frXCE5voXUJcN.jpg-0-1000-0-1500-crop.jpg?v=58a476ae28,Ryan Gosling,Carey Mulligan,Bryan Cranston
Baby Driver,Edgar Wright,3.72,2509370,https://a.ltrbxd.com/resized/film-poster/2/6/8/9/5/0/268950-baby-driver-0-1000-0-1500-crop.jpg?v=61304ddfc8,Ansel Elgort,Kevin Spacey,Lily James
The Wolf of Wall Street,Martin Scorsese,4.0,3086706,https://a.ltrbxd.com/resized/film-poster/8/6/1/1/4/86114-the-wolf-of-wall-street-0-1000-0-1500-crop.jpg?v=9fd1891260,Leonardo DiCaprio,Jonah Hill,Margot Robbie
Apocalypse Now,Francis Ford Coppola,4.44,830744,https://a.ltrbxd.com/resized/film-poster/2/6/9/0/2690-apocalypse-now-0-1000-0-1500-crop.jpg?v=d4f99c09a3,Martin Sheen,Frederic Forrest,Albert Hall
The Godfather: Part II,Francis Ford Coppola,4.59,1082347,https://a.ltrbxd.com/resized/film-poster/5/1/8/1/6/51816-the-godfather-part-ii-0-1000-0-1500-crop.jpg?v=6a49853f25,Al Pacino,Robert Duvall,Diane Keaton
